"NOM";"Matieres.grasses";"Glucides";"Fibres.alimentaires";"Proteines";"Sel";"Poids.100ml"
"Abricot (1=45g)";0,35;7,14;1,8;1,01;0;100
"Ail (1=8g)";0,34;21,2;4,7;5,81;0;100
"Allumettes Fumées lardons (Tradilèges)";20;0,6;0;18;2,5;100
"Amande (1=1,3g)";53,4;1,5;12,6;25,4;0,01;58
"Amandes effilées (Domino)";56;4,9;0;24;0,1;70
"Artichaut (1=500g)";0,28;0,99;9,3;0,28;0;100
"Asperge (1=40g)";0,32;0,81;1,8;2,53;0;100
"Aubergine (1=300g)";0,28;4,17;4,3;1,23;0;100
"Avocat (1=300g)";16;3,13;5,18;1,8;0,038;70
"Banane (1=150g)";0,25;19,6;1,9;0,98;0;100
"Barbecue sauce (Walden Farms)";0,08;3,1;0,6;0,7;1,73;100
"Basilic finement ciselé surgelé (Rustica 1boite=50g)";0,7;5,1;4,6;2,8;0,015;100
"Beurre demi-sel (St Hubert)";50;0;0;0;1,3;92
"Beurre doux (Montfleuri)";60;0,8;0;1;0,05;92
"Blanc de poulet ";1,76;0;0;26,2;0,4;100
"Boisson cranberry (Jafaden)";0,1;11,8;0,1;0,1;0,008;100
"Cacahuetes (Tokapi)";50,3;10,8;7,9;26,8;0,8;100
"Cacao en poudre (Van Houten)";21;8,7;28;20;0,08;49
"Cacao non sucré (Ivoria)";21,3;20,5;0;22,4;0,03;49
"Camembert (Président 1=250g)";21;0;0;20;1,4;100
"Carotte (1=125g)";0,26;6,6;2,17;0,803;0;22
"Céléri branche (1=500g)";0,19;3,6;1,6;0,66;0;100
"Céléri rave (1=1kg)";0,2;4,3;3,7;1,5;0;100
"Cerneaux de noix (SUN 1=10g)";65;3,5;0;13;0,01;40
"Champignon de paris (1=15g)";0,36;1,33;1;2,62;0;100
"Cheddar rapé (Les croisés 1 poche = 200g)";32;0,5;0;26;1,7;50
"Cheesecake aux courgettes (maison, 1part=250g))";8;3;0,8;6,7;1,6;100
"Chiffonade de chorizo (Saint Azay)";20;2,2;0,5;29;3,6;80
"Chocolat Esprit noir 85% (Tablette d'or 1=12,5g)";43,4;23,9;17,1;11,1;0,02;100
"Chocolat noir 70% (Lindt)";41;34;0;9,5;0,1;100
